,industry,ticker
0,Industrials,CNR.TO
1,Industrials,CP.TO
2,Industrials,TRI.TO
3,Industrials,WCN.TO
4,Industrials,WSP.TO
5,Industrials,AC.TO
6,Industrials,TIH.TO
7,Industrials,TFII.TO
8,Industrials,SNC.TO
9,Industrials,CAE.TO
10,Healthcare,BHC.TO
11,Healthcare,WEED.TO
12,Healthcare,TMD.TO
13,Healthcare,ACB.TO
14,Healthcare,AUP.TO
15,Healthcare,TRIL.TO
16,Healthcare,OGI.TO
17,Healthcare,SIA.TO
18,Healthcare,GUD.TO
19,Healthcare,WELL.TO
20,Technology,CAE.TO
21,Technology,KXS.TO
22,Technology,SHOP.TO
23,Technology,DSG.TO
24,Technology,ENGH.TO
25,Technology,CSU.TO
26,Technology,GIB-A.TO
27,Technology,OTEX.TO
28,Technology,CTS.TO
29,Technology,BB.TO
30,Energy,ENB.TO
31,Energy,TRP.TO
32,Energy,ERF.TO
33,Energy,SU.TO
34,Energy,IMO.TO
35,Energy,CVE.TO
36,Energy,PPL.TO
37,Energy,POU.TO
38,Energy,IPL.TO
39,Energy,MEG.TO
40,Financial Services,RY.TO
41,Financial Services,BNS.TO
42,Financial Services,NA.TO
43,Financial Services,TD.TO
44,Financial Services,BMO.TO
45,Financial Services,CM.TO
46,Financial Services,MFC.TO
47,Financial Services,IFC.TO
48,Financial Services,SLF.TO
49,Financial Services,FFH.TO
