Name,Sector,CAD Symbol,Local Market,US Symbol,International Market
Barrick Gold Corporation,Mining,ABX.TO,TSX,GOLD,NASDAQ
Aurora Cannabis Inc.,Life Sciences,ACB.TO,TSX,ACB,NASDAQ
Agnico Eagle Mines Limited,Mining,AEM.TO,TSX,AEM,NASDAQ
Alamos Gold Inc.,Mining,AGI.TO,TSX,AGI,NASDAQ
Almaden Minerals Ltd.,Mining,AMM.TO,TSX,AAU,NASDAQ
Algonquin Power & Utilities Corp.,Clean Technology,AQN.TO,TSX,AQN,NASDAQ
Avino Silver & Gold Mines Ltd.,Mining,ASM.TO,TSX,ASM,NASDAQ
Atlantic Power Corporation,Clean Technology,ATP.TO,TSX,AT,NASDAQ
Golden Minerals Company,Mining,AUMN.TO,TSX,AUMN,NASDAQ
Alexco Resource Corp.,Mining,AXU.TO,TSX,AXU,NASDAQ
Brookfield Asset Management Inc.,Financial Services,BAM.A.TO,TSX,BAM,NASDAQ
BlackBerry Limited,Technology,BB.TO,TSX,BB,NASDAQ
BCE Inc.,Communications & Media,BCE.TO,TSX,BCE,NASDAQ
Brookfield Renewable Corporation Exchangeable,Clean Technology,BEPC.TO,TSX,BEPC,NASDAQ
Bausch Health Companies Inc.,Life Sciences,BHC.TO,TSX,BHC,NASDAQ
Brookfield Infrastructure Corporation,Industrial Products & Services,BIPC.TO,TSX,BIPC,NASDAQ
Bank of Montreal,Financial Services,BMO.TO,TSX,BMO,NASDAQ
Bank of Nova Scotia (The),Financial Services,BNS.TO,TSX,BNS,NASDAQ
B2Gold Corp.,Mining,BTO.TO,TSX,BTG,NASDAQ
CAE Inc.,Technology,CAE.TO,TSX,CAE,NASDAQ
Cameco Corporation,Mining,CCO.TO,TSX,CCJ,NASDAQ
Ceridian HCM Holding Inc.,Technology,CDAY.TO,TSX,CDAY,NASDAQ
CI Financial Corp.,Financial Services,CIX.TO,TSX,CIXX,NASDAQ
Celestica Inc.,Technology,CLS.TO,TSX,CLS,NASDAQ
Canadian Imperial Bank Of Commerce,Financial Services,CM.TO,TSX,CM,NASDAQ
Canadian Natural Resources Limited,Oil & Gas,CNQ.TO,TSX,CNQ,NASDAQ
Canadian National Railway Company,Industrial Products & Services,CNR.TO,TSX,CNI,NASDAQ
CNOOC Limited,Oil & Gas,CNU.TO,TSX,CEO,NASDAQ
Canadian Pacific Railway Limited,Industrial Products & Services,CP.TO,TSX,CP,NASDAQ
Crescent Point Energy Corp.,Oil & Gas,CPG.TO,TSX,CPG,NASDAQ
CRH Medical Corporation,Life Sciences,CRH.TO,TSX,CRHM,NASDAQ
Cenovus Energy Inc.,Oil & Gas,CVE.TO,TSX,CVE,NASDAQ
Docebo Inc. ,Technology,DCBO.TO,TSX,DCBO,NASDAQ
Denison Mines Corp.,Mining,DML.TO,TSX,DNN,NASDAQ
Endeavour Silver Corp.,Mining,EDR.TO,TSX,EXK,NASDAQ
Eldorado Gold Corporation,Mining,ELD.TO,TSX,EGO,NASDAQ
Enbridge Inc.,Utilities & Pipelines,ENB.TO,TSX,ENB,NASDAQ
